INCIDENT_ID,RELATED_JOB_RUN_ID,TITLE,PRIORITY,CATEGORY,CREATED_AT,ASSIGNED_TO,RESOLVED_AT,RESOLUTION_HRS,SLA_HRS,SLA_BREACHED,RCA_DOCUMENTED,RECURRENCE_COUNT,STATUS,DBT_LOADED_AT
INC566097,JR7216506,Job failure: AR_AGING_RPT,P2,JOB_FAILURE,2024-08-24 07:33:15.000,EMP0027,2024-08-24 14:33:15.000,7,8,false,true,0,RESOLVED,2026-03-16 09:33:06.914 -0700
INC706394,JR5692560,Job failure: PAYROLL_PROC,P2,JOB_FAILURE,2024-03-02 15:31:17.000,EMP0034,,,8,false,false,4,OPEN,2026-03-16 09:33:06.914 -0700
INC829484,JR6567942,Job failure: DATA_ARCHIVAL,P3,JOB_FAILURE,2024-02-24 17:36:13.000,EMP0003,2024-02-26 22:36:13.000,53,24,true,false,4,RESOLVED,2026-03-16 09:33:06.914 -0700
INC808814,JR9410761,Job failure: BACKUP_VERIFY,P1,JOB_FAILURE,2023-10-17 22:22:52.000,EMP0008,,,4,true,false,5,OPEN,2026-03-16 09:33:06.914 -0700
INC462386,JR6794445,Job failure: AUDIT_EXTRACT,P3,JOB_FAILURE,2024-02-04 13:10:32.000,EMP0003,2024-02-07 01:10:32.000,60,24,true,false,1,RESOLVED,2026-03-16 09:33:06.914 -0700
INC718051,JR7848633,Job failure: AUDIT_EXTRACT,P1,JOB_FAILURE,2023-10-22 20:50:26.000,EMP0016,,,4,false,false,0,IN_PROGRESS,2026-03-16 09:33:06.914 -0700
INC144035,JR9189263,Job failure: DATA_ARCHIVAL,P3,JOB_FAILURE,2023-07-12 20:40:10.000,EMP0039,2023-07-13 00:40:10.000,4,24,false,true,2,RESOLVED,2026-03-16 09:33:06.914 -0700
INC618632,JR7420977,Job failure: TAX_CALC_JOB,P4,JOB_FAILURE,2023-10-02 20:27:10.000,EMP0010,2023-10-13 14:27:10.000,258,72,true,false,0,RESOLVED,2026-03-16 09:33:06.914 -0700
INC136067,JR6149320,Job failure: TAX_CALC_JOB,P4,JOB_FAILURE,2023-08-08 11:06:52.000,EMP0027,2023-08-08 19:06:52.000,8,72,false,true,4,RESOLVED,2026-03-16 09:33:06.914 -0700
INC373227,JR4516867,Job failure: TAX_CALC_JOB,P1,JOB_FAILURE,2023-08-19 20:26:38.000,EMP0019,,,4,true,false,0,IN_PROGRESS,2026-03-16 09:33:06.914 -0700
INC684654,JR5036321,Job failure: INVENTORY_SYNC,P2,JOB_FAILURE,2024-03-11 00:33:32.000,EMP0041,2024-03-12 06:33:32.000,30,8,true,true,2,RESOLVED,2026-03-16 09:33:06.914 -0700
INC592973,JR3606432,Job failure: INVENTORY_SYNC,P1,JOB_FAILURE,2023-01-02 20:04:23.000,EMP0025,2023-01-02 21:04:23.000,1,4,false,false,5,RESOLVED,2026-03-16 09:33:06.914 -0700
INC608082,JR8896487,Job failure: TAX_CALC_JOB,P2,JOB_FAILURE,2024-03-04 22:26:17.000,EMP0019,2024-03-05 09:26:17.000,11,8,true,false,2,RESOLVED,2026-03-16 09:33:06.914 -0700
INC777997,JR2467582,Job failure: REPORT_GEN,P1,JOB_FAILURE,2024-04-18 16:51:40.000,EMP0019,,,4,true,false,5,IN_PROGRESS,2026-03-16 09:33:06.914 -0700
INC362861,JR3029990,Job failure: RECONCILIATION,P3,JOB_FAILURE,2023-05-25 13:03:51.000,EMP0048,2023-05-28 22:03:51.000,81,24,true,true,4,RESOLVED,2026-03-16 09:33:06.914 -0700
INC293835,JR3324668,Job failure: AUDIT_EXTRACT,P2,JOB_FAILURE,2024-07-22 14:23:29.000,EMP0009,,,8,false,false,3,OPEN,2026-03-16 09:33:06.914 -0700
INC870020,JR3513173,Job failure: PAYROLL_PROC,P2,JOB_FAILURE,2024-11-21 10:16:46.000,EMP0002,2024-11-22 07:16:46.000,21,8,true,false,0,RESOLVED,2026-03-16 09:33:06.914 -0700
INC409054,JR7089765,Job failure: AUDIT_EXTRACT,P3,JOB_FAILURE,2023-10-07 18:52:56.000,EMP0043,2023-10-08 10:52:56.000,16,24,false,false,4,RESOLVED,2026-03-16 09:33:06.914 -0700
INC400885,JR8303927,Job failure: PAYROLL_PROC,P2,JOB_FAILURE,2023-01-13 15:04:14.000,EMP0030,2023-01-13 22:04:14.000,7,8,false,false,1,RESOLVED,2026-03-16 09:33:06.914 -0700
INC922142,JR2853134,Job failure: GL_CLOSE_JOB,P2,JOB_FAILURE,2023-05-03 09:51:11.000,EMP0001,2023-05-03 11:51:11.000,2,8,false,true,0,RESOLVED,2026-03-16 09:33:06.914 -0700
